,Country,domestic,intradomestic,nondomestic
0,Germany,173034.0,120966.0,205298.0
1,France,39936.0,32528.0,94662.0
2,Netherlands,70216.0,53704.0,111096.0
3,United Kingdom,82672.0,133858.0,233235.0
4,Finland,10646.0,16680.0,31308.0
5,Italy,62018.0,48174.0,88822.0
6,Spain,7560.0,7344.0,37040.0
7,Belgium,23184.0,17860.0,29100.0
8,Greece,3692.0,5822.0,46728.0
9,Denmark,9504.0,14322.0,70414.0
10,Sweden,3670.0,16454.0,64086.0
11,Ireland,64.0,90.0,3676.0
12,Austria,2772.0,4428.0,19316.0
13,Cyprus,26.0,182.0,2070.0
14,Portugal,484.0,414.0,15142.0
15,Slovakia,6.0,274.0,5242.0
16,Czech Republic,76.0,642.0,14730.0
17,Poland,1758.0,2888.0,10010.0
18,Hungary,1096.0,992.0,10358.0
19,Croatia,4.0,124.0,3488.0
